1101: M107E62, M113A37
1214: M110Z66
1401: M107H67, M106U53, M103N27
1402: M106K59, M109X44, M108J76, M103C75
1403: M113U97, M101N64, M110E47, M102G80, M107P80, M110N43, M117V35, M114X25
1503: M109A77
1504: M101V78
1604: M101N86, M102T59, M105A13
1605: M120U53
1701: M103N43
1702: M114X70
1703: M107P79, M116A89, M109Y98, M115D72, M117H28, M110E13
1802: M106F47, M111V62, M119X22
1804: M101R32, M112C66
1805: M109Q80
1901: M106Q12, M107T22
1902: M115P88
1903: M106R60, M107R51, M115Y15, M105U76
1904: M116Z46, M103Y11
1905: M111E30, M102S96, M107F84, M111C44, M111K40
2001: M104C44
2002: M109E19, M111H43, M103V83, M101U74, M108G65
2003: M103A52, M106D69, M110Z22, M111A61
2101: M121Y66, M103G85, M104U15, M107E46
2102: M103G11, M102X98, M119C75, M104K73
2103: M102P35, M102A61, M113W66, M101D50, M101A73
2201: M108U21, M103H94
2202: M104F73, M103Y99, M112Z30, M102N20, M105C38, M104R36
2203: M105T55, M106W60
2301: M117E47, M104P95, M103U51, M121G46
2302: M106K74, M108F55, M104W22, M121Z48
2303: M105U70, M115Y85, M112M91, M103V74, M103M71, M107P96, M112A36, M114P16
2401: M101E33, M107F27, M108U28
2402: M110D57, M103W44, M114Y74, M104Q79, M103Q75, M103A61, M108S40, M120F30
2403: M108W47, M111E51, M103Q31, M117W71, M108Q95, M104J18, M102Y34
