ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, isSupernumeri
M113A37, BL, 1101, GEN, 4, 6, true
M105A13, PH, 1604, GEN, 3, 166, true
M103N27, CY, 1401, GEN, 1, 185, true
M112C66, MA, 1804, GEN, 3, 196, true
M102S72, PH, 1703, GEN, 5, 201, true
M102U90, PH, 1403, GEN, 6, 246, true
M117W71, MA, 2403, GEN, 10, 288, true
M108Q95, MA, 2403, GEN, 9, 288, true
M111C44, MA, 1905, GEN, 4, 308, true
M108J76, MA, 1402, OBC, 7, 438, true
M121G46, MA, 2301, OBC, 6, 490, true
M103N43, CY, 1701, OBC, 1, 537, true
M112A36, PH, 2303, OBC, 16, 737, true
M114P16, PH, 2303, OBC, 17, 737, true
M108G65, MA, 2002, SC, 8, 1423, true
M104K73, MA, 2102, SC, 5, 1444, true
M108S40, PH, 2402, SC, 2, 1608, true
